Gene ID	source_id	Input Ortholog(s)	
PF3D7_0108400	PF3D7_0108400.2	PBANKA_0205100	
PF3D7_0108600	PF3D7_0108600.1	PBANKA_0204900	
PF3D7_0108800	PF3D7_0108800.1	PBANKA_0204700	
PF3D7_0109000	PF3D7_0109000.1	PBANKA_0204600	
PF3D7_0109100	PF3D7_0109100.1	PBANKA_0204500	
PF3D7_0109200	PF3D7_0109200.1	PBANKA_0204400	
PF3D7_0109400	PF3D7_0109400.1	PBANKA_0204200	
PF3D7_0109500	PF3D7_0109500.1	PBANKA_0204100	
PF3D7_0109600	PF3D7_0109600.1	PBANKA_0204000	
PF3D7_0109700	PF3D7_0109700.1	PBANKA_0203900	
PF3D7_0109800	PF3D7_0109800.1	PBANKA_0203800	
PF3D7_0109850	PF3D7_0109850.1	PBANKA_0203750	
PF3D7_0109950	PF3D7_0109950.1	PBANKA_0203650	
PF3D7_0110000	PF3D7_0110000.1	PBANKA_0203600	
PF3D7_0110100	PF3D7_0110100.1	PBANKA_0203500	
PF3D7_0110200	PF3D7_0110200.1	PBANKA_0203400	
PF3D7_0110400	PF3D7_0110400.1	PBANKA_0203300	
PF3D7_0110500	PF3D7_0110500.1	PBANKA_0203200	
PF3D7_0110600	PF3D7_0110600.1	PBANKA_0203100	
PF3D7_0110700	PF3D7_0110700.1	PBANKA_0203000	
PF3D7_0110800	PF3D7_0110800.1	PBANKA_0202900	
PF3D7_0110900	PF3D7_0110900.1	PBANKA_0202800	
PF3D7_0111000	PF3D7_0111000.1	PBANKA_0202700	
PF3D7_0111200	PF3D7_0111200.1	PBANKA_0202600	
PF3D7_0111300	PF3D7_0111300.1	PBANKA_0202500	
PF3D7_0111500	PF3D7_0111500.1	PBANKA_0202300	
PF3D7_0111600	PF3D7_0111600.1	PBANKA_0202200	
PF3D7_0111700	PF3D7_0111700.1	PBANKA_0202100	
PF3D7_0111800	PF3D7_0111800.1	PBANKA_0202000	
PF3D7_0111900	PF3D7_0111900.1	PBANKA_0201900	
PF3D7_0112000	PF3D7_0112000.1	PBANKA_0201800	
PF3D7_0112100	PF3D7_0112100.1	PBANKA_0201700	
PF3D7_0201800	PF3D7_0201800.1	PBANKA_0214800	
PF3D7_0202700	PF3D7_0202700.1	PBANKA_0300800	
PF3D7_0202800	PF3D7_0202800.1	PBANKA_0300900	
PF3D7_0203000	PF3D7_0203000.1	PBANKA_0301000	
PF3D7_0203300	PF3D7_0203300.1	PBANKA_0301200	
PF3D7_0203400	PF3D7_0203400.1	PBANKA_0301300	
PF3D7_0203600	PF3D7_0203600.1	PBANKA_0301400	
PF3D7_0203700	PF3D7_0203700.1	PBANKA_0301500	
PF3D7_0203800	PF3D7_0203800.1	PBANKA_0301600	
PF3D7_0203900	PF3D7_0203900.1	PBANKA_0301700	
PF3D7_0204100	PF3D7_0204100.1	PBANKA_0301900	
PF3D7_0204200	PF3D7_0204200.1	PBANKA_0302000	
PF3D7_0204300	PF3D7_0204300.1	PBANKA_0302100	
PF3D7_0204400	PF3D7_0204400.1	PBANKA_0302200	
PF3D7_0204500	PF3D7_0204500.1	PBANKA_0302300	
PF3D7_0204600	PF3D7_0204600.1	PBANKA_0302400	
PF3D7_0204700	PF3D7_0204700.1	PBANKA_0302500	
PF3D7_0204800	PF3D7_0204800.1	PBANKA_0302600	
PF3D7_0204900	PF3D7_0204900.1	PBANKA_0302700	
PF3D7_0205200	PF3D7_0205200.1	PBANKA_0302900	
PF3D7_0205400	PF3D7_0205400.1	PBANKA_0303100	
PF3D7_0205500	PF3D7_0205500.1	PBANKA_0303200	
PF3D7_0205600	PF3D7_0205600.1	PBANKA_0303300	
PF3D7_0205700	PF3D7_0205700.2	PBANKA_0303400	
PF3D7_0205700	PF3D7_0205700.1	PBANKA_0303400	
PF3D7_0205800	PF3D7_0205800.1	PBANKA_0303500	
PF3D7_0205900	PF3D7_0205900.1	PBANKA_0303600	
PF3D7_0206000	PF3D7_0206000.1	PBANKA_0303700	
PF3D7_0206100	PF3D7_0206100.1	PBANKA_0303800	
PF3D7_0206200	PF3D7_0206200.1	PBANKA_0303900	
PF3D7_0206600	PF3D7_0206600.1	PBANKA_0304200	
PF3D7_0206700	PF3D7_0206700.1	PBANKA_0304300	
PF3D7_0207100	PF3D7_0207100.1	PBANKA_0304500	
PF3D7_0207200	PF3D7_0207200.1	PBANKA_0304600	
PF3D7_0207300	PF3D7_0207300.1	PBANKA_0304700,PBANKA_0304800,PBANKA_0304900,PBANKA_0305000,PBANKA_0305100	
PF3D7_0207400	PF3D7_0207400.1	PBANKA_0304700,PBANKA_0304800,PBANKA_0304900,PBANKA_0305000,PBANKA_0305100	
PF3D7_0207500	PF3D7_0207500.1	PBANKA_0304700,PBANKA_0304800,PBANKA_0304900,PBANKA_0305000,PBANKA_0305100	
PF3D7_0207600	PF3D7_0207600.1	PBANKA_0304700,PBANKA_0304800,PBANKA_0304900,PBANKA_0305000,PBANKA_0305100	
PF3D7_0207700	PF3D7_0207700.1	PBANKA_0304700,PBANKA_0304800,PBANKA_0304900,PBANKA_0305000,PBANKA_0305100	
PF3D7_0207800	PF3D7_0207800.1	PBANKA_0304700,PBANKA_0304800,PBANKA_0304900,PBANKA_0305000,PBANKA_0305100	
PF3D7_0207900	PF3D7_0207900.1	PBANKA_0304700,PBANKA_0304800,PBANKA_0304900,PBANKA_0305000,PBANKA_0305100	
PF3D7_0208000	PF3D7_0208000.1	PBANKA_0304700,PBANKA_0304800,PBANKA_0304900,PBANKA_0305000,PBANKA_0305100	
PF3D7_0208100	PF3D7_0208100.1	PBANKA_0305200	
PF3D7_0208200	PF3D7_0208200.1	PBANKA_0305300	
PF3D7_0208300	PF3D7_0208300.1	PBANKA_0305400	
PF3D7_0208400	PF3D7_0208400.1	PBANKA_0305500	
PF3D7_0208500	PF3D7_0208500.1	PBANKA_0305600	
PF3D7_0208600	PF3D7_0208600.1	PBANKA_0305700	
PF3D7_0208700	PF3D7_0208700.2	PBANKA_0305800	
PF3D7_0208700	PF3D7_0208700.1	PBANKA_0305800	
PF3D7_0208800	PF3D7_0208800.1	PBANKA_0305900	
PF3D7_0208900	PF3D7_0208900.1	PBANKA_0306000	
PF3D7_0209000	PF3D7_0209000.1	PBANKA_0306100	
PF3D7_0209100	PF3D7_0209100.1	PBANKA_0306200	
PF3D7_0209200	PF3D7_0209200.1	PBANKA_0306300	
PF3D7_0209300	PF3D7_0209300.1	PBANKA_0306400	
PF3D7_0209400	PF3D7_0209400.1	PBANKA_0306500	
PF3D7_0209500	PF3D7_0209500.1	PBANKA_0306600	
PF3D7_0209600	PF3D7_0209600.1	PBANKA_0306700	
PF3D7_0209800	PF3D7_0209800.1	PBANKA_0306800	
PF3D7_0210000	PF3D7_0210000.1	PBANKA_0306900	
PF3D7_0210100	PF3D7_0210100.2	PBANKA_0307000	
PF3D7_0210100	PF3D7_0210100.1	PBANKA_0307000	
PF3D7_0210200	PF3D7_0210200.1	PBANKA_0307100	
PF3D7_0210300	PF3D7_0210300.1	PBANKA_0307200	
PF3D7_0210400	PF3D7_0210400.1	PBANKA_0307300	
PF3D7_0210500	PF3D7_0210500.1	PBANKA_0307400	
PF3D7_0210600	PF3D7_0210600.1	PBANKA_0307500	
PF3D7_0210700	PF3D7_0210700.1	PBANKA_0307600	
PF3D7_0210800	PF3D7_0210800.1	PBANKA_0307700	
PF3D7_0210900	PF3D7_0210900.1	PBANKA_0307800	
PF3D7_0211100	PF3D7_0211100.1	PBANKA_0307900	
PF3D7_0211200	PF3D7_0211200.1	PBANKA_0308000	
PF3D7_0211300	PF3D7_0211300.1	PBANKA_0308100	
PF3D7_0211400	PF3D7_0211400.1	PBANKA_0308200	
PF3D7_0211500	PF3D7_0211500.1	PBANKA_0308300	
PF3D7_0211600	PF3D7_0211600.1	PBANKA_0308400	
PF3D7_0211700	PF3D7_0211700.1	PBANKA_0308500	
PF3D7_0211800	PF3D7_0211800.1	PBANKA_0308600	
PF3D7_0211900	PF3D7_0211900.1	PBANKA_0308700	
PF3D7_0212000	PF3D7_0212000.1	PBANKA_0308800	
PF3D7_0212200	PF3D7_0212200.1	PBANKA_0309000	
PF3D7_0212300	PF3D7_0212300.1	PBANKA_0309100	
PF3D7_0212400	PF3D7_0212400.1	PBANKA_0309200	
PF3D7_0212600	PF3D7_0212600.1	PBANKA_0309500	
PF3D7_0212700	PF3D7_0212700.1	PBANKA_0309600	
PF3D7_0212800	PF3D7_0212800.1	PBANKA_0309700	
PF3D7_0212900	PF3D7_0212900.1	PBANKA_0309800	
PF3D7_0213000	PF3D7_0213000.1	PBANKA_0309900	
PF3D7_0213100	PF3D7_0213100.1	PBANKA_0310000	
PF3D7_0213200	PF3D7_0213200.1	PBANKA_0310100,PBANKA_0310200	
PF3D7_0213300	PF3D7_0213300.1	PBANKA_0310100,PBANKA_0310200	
PF3D7_0213400	PF3D7_0213400.1	PBANKA_0310300	
PF3D7_0213500	PF3D7_0213500.1	PBANKA_0310400	
PF3D7_0213700	PF3D7_0213700.1	PBANKA_0310600	
PF3D7_0213800	PF3D7_0213800.1	PBANKA_0310700	
PF3D7_0213900	PF3D7_0213900.1	PBANKA_0310800	
PF3D7_0214000	PF3D7_0214000.1	PBANKA_0310900	
PF3D7_0214100	PF3D7_0214100.1	PBANKA_0311000	
PF3D7_0214200	PF3D7_0214200.1	PBANKA_0311100	
PF3D7_0214400	PF3D7_0214400.1	PBANKA_0311200	
PF3D7_0214500	PF3D7_0214500.1	PBANKA_0311300	
PF3D7_0214700	PF3D7_0214700.1	PBANKA_0311500	
PF3D7_0214800	PF3D7_0214800.1	PBANKA_0311600	
PF3D7_0215000	PF3D7_0215000.1	PBANKA_0311800	
PF3D7_0215100	PF3D7_0215100.1	PBANKA_0311900	
PF3D7_0215200	PF3D7_0215200.1	PBANKA_0312000	
PF3D7_0215300	PF3D7_0215300.1	PBANKA_0311800	
PF3D7_0215400	PF3D7_0215400.1	PBANKA_0312100	
PF3D7_0215600	PF3D7_0215600.1	PBANKA_0312300	
PF3D7_0215700	PF3D7_0215700.1	PBANKA_0312400	
PF3D7_0215800	PF3D7_0215800.1	PBANKA_0312500	
PF3D7_0215900	PF3D7_0215900.1	PBANKA_0312600	
PF3D7_0216000	PF3D7_0216000.1	PBANKA_0312700	
PF3D7_0216100	PF3D7_0216100.1	PBANKA_0312800	
PF3D7_0216200	PF3D7_0216200.1	PBANKA_0312900	
PF3D7_0216300	PF3D7_0216300.1	PBANKA_0313000	
PF3D7_0216400	PF3D7_0216400.1	PBANKA_0313100	
PF3D7_0216500	PF3D7_0216500.1	PBANKA_0313200	
PF3D7_0216600	PF3D7_0216600.1	PBANKA_0313300	
PF3D7_0216700	PF3D7_0216700.1	PBANKA_0313400	
PF3D7_0216700	PF3D7_0216700.2	PBANKA_0313400	
PF3D7_0216800	PF3D7_0216800.1	PBANKA_0313500	
PF3D7_0216900	PF3D7_0216900.1	PBANKA_0313600	
PF3D7_0217000	PF3D7_0217000.1	PBANKA_0313700	
PF3D7_0217100	PF3D7_0217100.1	PBANKA_0313800	
PF3D7_0217200	PF3D7_0217200.1	PBANKA_0313900	
PF3D7_0217300	PF3D7_0217300.1	PBANKA_0314000	
PF3D7_0217400	PF3D7_0217400.1	PBANKA_0314100	
PF3D7_0217500	PF3D7_0217500.1	PBANKA_0314200	
PF3D7_0217600	PF3D7_0217600.1	PBANKA_0314300	
PF3D7_0217700	PF3D7_0217700.1	PBANKA_0314400	
PF3D7_0217800	PF3D7_0217800.1	PBANKA_0314500	
PF3D7_0217900	PF3D7_0217900.1	PBANKA_0314600	
PF3D7_0218000	PF3D7_0218000.1	PBANKA_0314700	
PF3D7_0218100	PF3D7_0218100.1	PBANKA_0314800	
PF3D7_0218300	PF3D7_0218300.1	PBANKA_0315000	
PF3D7_0218400	PF3D7_0218400.1	PBANKA_0315100	
PF3D7_0218500	PF3D7_0218500.1	PBANKA_0315200	
PF3D7_0218700	PF3D7_0218700.1	PBANKA_0315400	
PF3D7_0219200	PF3D7_0219200.1	PBANKA_0315600	
PF3D7_0219300	PF3D7_0219300.1	PBANKA_0315700	
PF3D7_0219400	PF3D7_0219400.2	PBANKA_0315800	
PF3D7_0219400	PF3D7_0219400.1	PBANKA_0315800	
PF3D7_0219500	PF3D7_0219500.1	PBANKA_0315900	
PF3D7_0219600	PF3D7_0219600.1	PBANKA_0316000	
PF3D7_0301900	PF3D7_0301900.1	PBANKA_0400900	
PF3D7_0302000	PF3D7_0302000.1	PBANKA_0401000	
PF3D7_0302100	PF3D7_0302100.1	PBANKA_0401100	
PF3D7_0302700	PF3D7_0302700.1	PBANKA_0401300	
PF3D7_0302800	PF3D7_0302800.1	PBANKA_0401400	
PF3D7_0302900	PF3D7_0302900.1	PBANKA_0401500	
PF3D7_0303000	PF3D7_0303000.1	PBANKA_0401600	
PF3D7_0303100	PF3D7_0303100.1	PBANKA_0401700	
PF3D7_0303200	PF3D7_0303200.1	PBANKA_0401800	
PF3D7_0303300	PF3D7_0303300.1	PBANKA_0401900	
PF3D7_0303400	PF3D7_0303400.1	PBANKA_0402000	
PF3D7_0303500	PF3D7_0303500.1	PBANKA_0402100	
PF3D7_0303600	PF3D7_0303600.1	PBANKA_0402200	
PF3D7_0303700	PF3D7_0303700.1	PBANKA_0402300	
PF3D7_0303800	PF3D7_0303800.1	PBANKA_0402400	
PF3D7_0303900	PF3D7_0303900.1	PBANKA_0402500	
PF3D7_0304000	PF3D7_0304000.1	PBANKA_0402600	
PF3D7_0304100	PF3D7_0304100.1	PBANKA_0402700	
PF3D7_0304200	PF3D7_0304200.1	PBANKA_0402800	
PF3D7_0304300	PF3D7_0304300.1	PBANKA_0402900	
PF3D7_0304400	PF3D7_0304400.1	PBANKA_0403000	
PF3D7_0304500	PF3D7_0304500.1	PBANKA_0403100	
PF3D7_0304800	PF3D7_0304800.1	PBANKA_0403300	
PF3D7_0304900	PF3D7_0304900.1	PBANKA_0403400	
PF3D7_0305000	PF3D7_0305000.1	PBANKA_0403500	
PF3D7_0305200	PF3D7_0305200.1	PBANKA_0403700	
PF3D7_0305300	PF3D7_0305300.1	PBANKA_0403800	
PF3D7_0305400	PF3D7_0305400.1	PBANKA_0403900	
PF3D7_0305500	PF3D7_0305500.1	PBANKA_0404000	
PF3D7_0305600	PF3D7_0305600.1	PBANKA_0404100	
PF3D7_0305700	PF3D7_0305700.1	PBANKA_0404200	
PF3D7_0305800	PF3D7_0305800.1	PBANKA_0404300	
PF3D7_0306000	PF3D7_0306000.1	PBANKA_0404400	
PF3D7_0306100	PF3D7_0306100.1	PBANKA_0404500	
PF3D7_0306200	PF3D7_0306200.1	PBANKA_0404600	
PF3D7_0306300	PF3D7_0306300.1	PBANKA_0404700	
PF3D7_0306400	PF3D7_0306400.1	PBANKA_0404800	
PF3D7_0306500	PF3D7_0306500.1	PBANKA_0404900	
PF3D7_0306600	PF3D7_0306600.1	PBANKA_0405000	
PF3D7_0306700	PF3D7_0306700.1	PBANKA_0405100	
PF3D7_0306800	PF3D7_0306800.1	PBANKA_0405200	
PF3D7_0306900	PF3D7_0306900.1	PBANKA_0405300	
PF3D7_0307100	PF3D7_0307100.1	PBANKA_0405400	
PF3D7_0307200	PF3D7_0307200.1	PBANKA_0405500	
PF3D7_0307300	PF3D7_0307300.1	PBANKA_0405600	
PF3D7_0307400	PF3D7_0307400.1	PBANKA_0405700	
PF3D7_0307500	PF3D7_0307500.1	PBANKA_0405800	
PF3D7_0307600	PF3D7_0307600.1	PBANKA_0405900	
PF3D7_0307700	PF3D7_0307700.1	PBANKA_0406000	
PF3D7_0307800	PF3D7_0307800.1	PBANKA_0406100	
PF3D7_0308000	PF3D7_0308000.1	PBANKA_0406300	
PF3D7_0308200	PF3D7_0308200.1	PBANKA_0406500	
PF3D7_0308500	PF3D7_0308500.1	PBANKA_0406700	
PF3D7_0308600	PF3D7_0308600.1	PBANKA_0406800	
PF3D7_0308700	PF3D7_0308700.1	PBANKA_0406900	
PF3D7_0308800	PF3D7_0308800.1	PBANKA_0407000	
PF3D7_0308900	PF3D7_0308900.1	PBANKA_0407100	
PF3D7_0309000	PF3D7_0309000.1	PBANKA_0407200	
PF3D7_0309100	PF3D7_0309100.1	PBANKA_0407300	
PF3D7_0309200	PF3D7_0309200.1	PBANKA_0407400	
PF3D7_0309300	PF3D7_0309300.1	PBANKA_0407500	
PF3D7_0309500	PF3D7_0309500.1	PBANKA_0407600	
PF3D7_0309600	PF3D7_0309600.1	PBANKA_0407700	
PF3D7_0309700	PF3D7_0309700.1	PBANKA_0407800	
PF3D7_0309800	PF3D7_0309800.1	PBANKA_0407900	
PF3D7_0310000	PF3D7_0310000.1	PBANKA_0408100	
PF3D7_0310100	PF3D7_0310100.1	PBANKA_0408200	
PF3D7_0310300	PF3D7_0310300.1	PBANKA_0408400	
PF3D7_0310400	PF3D7_0310400.1	PBANKA_0408500	
PF3D7_0310600	PF3D7_0310600.1	PBANKA_0408600	
PF3D7_0310600	PF3D7_0310600.2	PBANKA_0408600	
PF3D7_0310700	PF3D7_0310700.1	PBANKA_0408700	
PF3D7_0310800	PF3D7_0310800.1	PBANKA_0408800	
PF3D7_0311000	PF3D7_0311000.1	PBANKA_0409000	
PF3D7_0311100	PF3D7_0311100.1	PBANKA_0409100	
PF3D7_0311200	PF3D7_0311200.1	PBANKA_0409200	
PF3D7_0311300	PF3D7_0311300.1	PBANKA_0409300	
PF3D7_0311400	PF3D7_0311400.1	PBANKA_0409400	
PF3D7_0311500	PF3D7_0311500.1	PBANKA_0409500	
PF3D7_0311600	PF3D7_0311600.1	PBANKA_0409600	
PF3D7_0311700	PF3D7_0311700.1	PBANKA_0409700	
PF3D7_0311800	PF3D7_0311800.1	PBANKA_0409800	
PF3D7_0311900	PF3D7_0311900.1	PBANKA_0409900	
PF3D7_0312000	PF3D7_0312000.1	PBANKA_0410000	
PF3D7_0312100	PF3D7_0312100.1	PBANKA_0410100	
PF3D7_0312200	PF3D7_0312200.1	PBANKA_0410200	
PF3D7_0312300	PF3D7_0312300.1	PBANKA_0410300	
PF3D7_0312400	PF3D7_0312400.1	PBANKA_0410400	
PF3D7_0312500	PF3D7_0312500.1	PBANKA_0410500	
PF3D7_0312800	PF3D7_0312800.1	PBANKA_0410600	
PF3D7_0313000	PF3D7_0313000.1	PBANKA_0410700	
PF3D7_0313100	PF3D7_0313100.1	PBANKA_0410800	
PF3D7_0313200	PF3D7_0313200.1	PBANKA_0410900	
PF3D7_0313300	PF3D7_0313300.1	PBANKA_0411000	
PF3D7_0313400	PF3D7_0313400.1	PBANKA_0411100	
PF3D7_0313500	PF3D7_0313500.1	PBANKA_0411200	
PF3D7_0313600	PF3D7_0313600.1	PBANKA_0411300	
PF3D7_0313700	PF3D7_0313700.2	PBANKA_0411400	
PF3D7_0313700	PF3D7_0313700.1	PBANKA_0411400	
PF3D7_0313800	PF3D7_0313800.1	PBANKA_0411500	
PF3D7_0313900	PF3D7_0313900.1	PBANKA_0411600	
PF3D7_0314000	PF3D7_0314000.1	PBANKA_0411700	
PF3D7_0314100	PF3D7_0314100.2	PBANKA_0411800	
PF3D7_0314100	PF3D7_0314100.1	PBANKA_0411800	
PF3D7_0314200	PF3D7_0314200.1	PBANKA_0411950	
PF3D7_0314300	PF3D7_0314300.1	PBANKA_0412000	
PF3D7_0314400	PF3D7_0314400.1	PBANKA_0412100	
PF3D7_0314500	PF3D7_0314500.1	PBANKA_0412200	
PF3D7_0314600	PF3D7_0314600.1	PBANKA_0412300	
PF3D7_0314700	PF3D7_0314700.1	PBANKA_0412400	
PF3D7_0314800	PF3D7_0314800.1	PBANKA_0412500	
PF3D7_0315000	PF3D7_0315000.1	PBANKA_0412700	
PF3D7_0315100	PF3D7_0315100.1	PBANKA_0412800	
PF3D7_0315200	PF3D7_0315200.1	PBANKA_0412900	
PF3D7_0315300	PF3D7_0315300.1	PBANKA_0413000	
PF3D7_0315400	PF3D7_0315400.1	PBANKA_0413200	
PF3D7_0315500	PF3D7_0315500.1	PBANKA_0413300	
PF3D7_0315700	PF3D7_0315700.1	PBANKA_0413500	
PF3D7_0315900	PF3D7_0315900.1	PBANKA_0413700	
PF3D7_0316100	PF3D7_0316100.1	PBANKA_0413900	
PF3D7_0316300	PF3D7_0316300.2	PBANKA_0414100	
PF3D7_0316300	PF3D7_0316300.1	PBANKA_0414100	
PF3D7_0316400	PF3D7_0316400.1	PBANKA_0414200	
PF3D7_0316500	PF3D7_0316500.1	PBANKA_0414300	
PF3D7_0316600	PF3D7_0316600.1	PBANKA_0414400	
PF3D7_0316700	PF3D7_0316700.1	PBANKA_0414500	
PF3D7_0316800	PF3D7_0316800.1	PBANKA_0414600	
PF3D7_0316900	PF3D7_0316900.1	PBANKA_0808300	
PF3D7_0317000	PF3D7_0317000.1	PBANKA_0808200	
PF3D7_0317100	PF3D7_0317100.1	PBANKA_0808100	
PF3D7_0317200	PF3D7_0317200.1	PBANKA_0808000	
PF3D7_0317400	PF3D7_0317400.1	PBANKA_0807800	
PF3D7_0317500	PF3D7_0317500.1	PBANKA_0807700	
PF3D7_0317600	PF3D7_0317600.1	PBANKA_0807600	
PF3D7_0317700	PF3D7_0317700.1	PBANKA_0807500	
PF3D7_0317800	PF3D7_0317800.1	PBANKA_0807400	
PF3D7_0317900	PF3D7_0317900.1	PBANKA_0807300	
PF3D7_0318100	PF3D7_0318100.1	PBANKA_0807100	
PF3D7_0318200	PF3D7_0318200.1	PBANKA_0807000	
PF3D7_0318300	PF3D7_0318300.1	PBANKA_0806900	
PF3D7_0318400	PF3D7_0318400.1	PBANKA_0806800	
PF3D7_0318600	PF3D7_0318600.1	PBANKA_0806600	
PF3D7_0318800	PF3D7_0318800.1	PBANKA_0806500	
PF3D7_0318900	PF3D7_0318900.1	PBANKA_0806400	
PF3D7_0319000	PF3D7_0319000.1	PBANKA_0806300	
PF3D7_0319100	PF3D7_0319100.1	PBANKA_0806200	
PF3D7_0319200	PF3D7_0319200.1	PBANKA_0806100	
PF3D7_0319300	PF3D7_0319300.1	PBANKA_0806000	
PF3D7_0319500	PF3D7_0319500.1	PBANKA_0805800	
PF3D7_0319600	PF3D7_0319600.1	PBANKA_1218900	
PF3D7_0319700	PF3D7_0319700.1	PBANKA_1218800	
PF3D7_0319800	PF3D7_0319800.1	PBANKA_1218700	
PF3D7_0319900	PF3D7_0319900.1	PBANKA_1218600	
PF3D7_0320000	PF3D7_0320000.1	PBANKA_1218500	
PF3D7_0320100	PF3D7_0320100.1	PBANKA_1218400	
PF3D7_0320200	PF3D7_0320200.1	PBANKA_1218300	
PF3D7_0320300	PF3D7_0320300.1	PBANKA_1218200	
PF3D7_0320400	PF3D7_0320400.1	PBANKA_1218100	
PF3D7_0320500	PF3D7_0320500.1	PBANKA_1218000	
PF3D7_0320600	PF3D7_0320600.1	PBANKA_1217900	
PF3D7_0320700	PF3D7_0320700.1	PBANKA_1217800	
PF3D7_0320800	PF3D7_0320800.1	PBANKA_1217700	
PF3D7_0320900	PF3D7_0320900.1	PBANKA_1217600	
PF3D7_0321200	PF3D7_0321200.1	PBANKA_1217300	
PF3D7_0321400	PF3D7_0321400.1	PBANKA_1217100	
PF3D7_0321500	PF3D7_0321500.1	PBANKA_1217000	
PF3D7_0321600	PF3D7_0321600.1	PBANKA_1216900	
PF3D7_0321900	PF3D7_0321900.1	PBANKA_1216600	
PF3D7_0322000	PF3D7_0322000.1	PBANKA_1216500	
PF3D7_0322100	PF3D7_0322100.1	PBANKA_1216400	
PF3D7_0322200	PF3D7_0322200.1	PBANKA_1216300	
PF3D7_0322300	PF3D7_0322300.1	PBANKA_1216200	
PF3D7_0322400	PF3D7_0322400.1	PBANKA_1216100	
PF3D7_0322500	PF3D7_0322500.1	PBANKA_1216000	
PF3D7_0322600	PF3D7_0322600.1	PBANKA_1215900	
PF3D7_0322800	PF3D7_0322800.1	PBANKA_1215700	
PF3D7_0322900	PF3D7_0322900.1	PBANKA_1215600	
PF3D7_0323000	PF3D7_0323000.1	PBANKA_1215500	
PF3D7_0323100	PF3D7_0323100.1	PBANKA_1215400	
PF3D7_0323200	PF3D7_0323200.1	PBANKA_1215300	
PF3D7_0323300	PF3D7_0323300.1	PBANKA_1215200	
PF3D7_0323400	PF3D7_0323400.1	PBANKA_1215100	
PF3D7_0323500	PF3D7_0323500.1	PBANKA_1215000	
PF3D7_0323600	PF3D7_0323600.1	PBANKA_1214900	
PF3D7_0323700	PF3D7_0323700.1	PBANKA_1214800	
PF3D7_0403100	PF3D7_0403100.1	PBANKA_1000700	
PF3D7_0403300	PF3D7_0403300.1	PBANKA_1000900	
PF3D7_0403500	PF3D7_0403500.1	PBANKA_1001100	
PF3D7_0403700	PF3D7_0403700.1	PBANKA_1001400	
PF3D7_0403800	PF3D7_0403800.1	PBANKA_1001500	
PF3D7_0403900	PF3D7_0403900.1	PBANKA_1001600	
